"report_name","report_url","report_source"
"New York Manufacturing Extension Partnership Report (2017 & 2018)","https://esd.ny.gov/esd-media-center/reports/new-york-manufacturing-extension-partnership-report-2017-2018","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=9"
"RRLTF 2019 Annual Report","https://esd.ny.gov/esd-media-center/reports/rrltf-2019-annual-report","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=9"
"CDFI Assistance Program 2019 Annual Report","https://esd.ny.gov/esd-media-center/reports/cdfi-assistance-program-2019-annual-report","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=9"
"Linked Deposit 2019 Annual Report","https://esd.ny.gov/esd-media-center/reports/linked-deposit-2019-annual-report-0","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=9"
"Entrepreneurship Assistance Centers (EAC) Annual Report 2018-19","https://esd.ny.gov/esd-media-center/reports/entrepreneurship-assistance-centers-eac-annual-report-2018-19","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=9"
"2019 Annual Report on the State of Small Businesses","https://esd.ny.gov/esd-media-center/reports/2019-annual-report-state-small-businesses","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=9"
"Empire State Jobs Retention Program - Quarterly Report: 9/30/2019","https://esd.ny.gov/empire-state-jobs-retention-program-quarterly-report-9302019","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=9"
"Excelsior Jobs Program Quarterly Report: 9/30/2019","https://esd.ny.gov/excelsior-jobs-program-quarterly-report-9302019","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=9"
"Commercial Production Tax Credit Program Annual Report: 2017","https://esd.ny.gov/esd-media-center/reports/commercial-production-tax-credit-program-annual-report-2017","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=9"
"Musical and Theatrical Tax Credit Annual Report: 2019","https://esd.ny.gov/esd-media-center/reports/musical-and-theatrical-tax-credit-annual-report-2019","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=9"
"Empire State Jobs Retention Program - Quarterly Report: 6/30/2019","https://esd.ny.gov/esd-media-center/reports/empire-state-jobs-retention-program-quarterly-report-6302019","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=10"
"Excelsior Jobs Program Quarterly Report: 6/30/2019","https://esd.ny.gov/esd-media-center/reports/excelsior-jobs-program-quarterly-report-6302019","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=10"
"Empire State Development: Annual Report 2019","https://esd.ny.gov/esd-media-center/reports/esd-annual-report-2019","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=10"
"Empire State Jobs Retention Program - Quarterly Report: 12/31/2018","https://esd.ny.gov/esd-media-center/reports/empire-state-jobs-retention-program-quarterly-report-12312018","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=10"
"Empire State Jobs Retention Program - Quarterly Report: 3/31/2019","https://esd.ny.gov/esd-media-center/reports/empire-state-jobs-retention-program-quarterly-report-3312019","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=10"
"Excelsior Jobs Program Quarterly Report: 3/31/2019","https://esd.ny.gov/esd-media-center/reports/excelsior-jobs-program-quarterly-report-3312019","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=10"
"Excelsior Jobs Program Quarterly Report: 12/31/2018","https://esd.ny.gov/esd-media-center/reports/excelsior-jobs-program-quarterly-report-12312018","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=10"
"I Love New York Hospitality Suite - 2019 Season Report","https://esd.ny.gov/sites/default/files/news-articles/2019%20I%20Love%20New%20York%20Hospitality%20Suite%20report.pdf","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=10"
"2018 I Love New York Hospitality Suite Usage Report","https://esd.ny.gov/sites/default/files/news-articles/I%20Love%20New%20York%20Hospitality%20Suite%202018.pdf","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=10"
"2016 I Love New York Hospitality Suite Usage Report","https://esd.ny.gov/sites/default/files/news-articles/I%20Love%20New%20York%20Hospitality%20Suite%20Report%202016.pdf","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=10"
"Film Tax Credit 2019 Quarterly Reports","https://esd.ny.gov/esd-media-center/reports/film-tax-credit-2019-quarterly-reports","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=11"
"ESD 2018 Annual Jobs Report","https://esd.ny.gov/esd-media-center/reports/esd-2018-annual-jobs-report","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=11"
"ESD Annual Program Report: 2018-2019","https://esd.ny.gov/esd-media-center/reports/esd-annual-program-report-2018-2019","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=11"
"Empire State Development Quarterly Status Reports: 2019-2020","https://esd.ny.gov/esd-media-center/reports/empire-state-development-quarterly-status-reports-2019-2020","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=11"
"NYSTAR 2017 Annual Report","https://esd.ny.gov/esd-media-center/reports/nystar-2017","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=11"
"Empire State Jobs Retention Program Quarterly Report: 9/30/2018","https://esd.ny.gov/esd-media-center/reports/jobs-retention-program-93018","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=11"
"Excelsior Jobs Program Quarterly Report: 9/30/2018","https://esd.ny.gov/esd-media-center/reports/excelsior-jobs-program-quarterly-report-93018","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=11"
"FY 17/18 Tourism and Business Report","https://esd.ny.gov/sites/default/files/news-articles/FY1718-Tourism-and-Business-Report.pdf","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=11"
"Life Science Initiative Annual Report - 2018","https://esd.ny.gov/esd-media-center/reports/life-science-initiative-annual-report-2018","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=11"
"Economic Transformation & Facility Redevelopment Program Report: 2019","https://esd.ny.gov/esd-media-center/reports/economic-transformation-facility-redevelopment-program-report-2019","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=11"
"Film Tax Credit 2018 Quarterly Reports","https://esd.ny.gov/esd-media-center/reports/film-tax-credit-2018-quarterly-reports","https://esd.ny.gov/esd-media-center/reports?tid[0]=516&page=12"
